#t	#pc00001	#pc00002	#pc00003
341	 0.034321	 0.003035	 0.023698
342	-0.009485	 0.013173	-0.003121
343	 0.007755	-0.020803	 0.020299
344	-0.017442	-0.001515	-0.023970
345	 0.026463	 0.008924	-0.004977
346	 0.005657	-0.003466	-0.018894
347	 0.005781	-0.006851	 0.004827
348	-0.019512	-0.005156	 0.030207
349	 0.018574	 0.005593	 0.002308
350	-0.030594	-0.000711	-0.006708
351	 0.031416	-0.007547	 0.009000
352	 0.029139	-0.024831	-0.002150
353	-0.025588	 0.009185	 0.023246
354	-0.007434	 0.013409	 0.009065
355	 0.009701	 0.012222	-0.011806
356	-0.013114	 0.013166	 0.009219
357	-0.022287	-0.025952	-0.008144
358	-0.015440	 0.030163	-0.030489
359	 0.002957	 0.012274	-0.008916
360	 0.018478	 0.040455	-0.004590
361	 0.040286	 0.001054	 0.000839
362	 0.019375	-0.008771	 0.037923
363	 0.025497	-0.036548	-0.015324
364	-0.005477	 0.008278	-0.006161
365	 0.020186	-0.002100	 0.017516
366	 0.046849	-0.023316	-0.016714
367	-0.043962	-0.013086	 0.003252
368	 0.076995	-0.024287	 0.053194
369	 0.011070	 0.015475	 0.007448
370	 0.012119	-0.010871	-0.006210
371	-0.021986	-0.004002	 0.004531
372	 0.000245	-0.005460	 0.005731
373	-0.025873	-0.037723	-0.014625
374	-0.004996	 0.010612	 0.011806
375	-0.043255	 0.011384	 0.032397
376	-0.003986	-0.000263	 0.012986
377	-0.014722	 0.012986	 0.004840
378	-0.007452	-0.007996	-0.000414
379	-0.017245	 0.004403	 0.022611
380	 0.000577	 0.003230	 0.020178
381	-0.010163	 0.019343	-0.008443
382	-0.041552	-0.038938	 0.002795
383	-0.022348	 0.012759	-0.013385
384	-0.038773	 0.009970	 0.002601
385	-0.001047	-0.002560	-0.014225
386	 0.018863	 0.005058	-0.002025
387	 0.015828	-0.011955	 0.004531
388	-0.003158	 0.020995	 0.008675
389	 0.019914	 0.007476	-0.008039
390	-0.028804	-0.004018	 0.024476
391	-0.010491	-0.008369	-0.011335
392	 0.017320	 0.006683	 0.000702
393	 0.005727	-0.002933	 0.003676
394	 0.009096	 0.008344	 0.015804
395	 0.008544	 0.023259	-0.026578
396	 0.007811	 0.004225	-0.004069
397	 0.015009	-0.044401	 0.004185
398	 0.017973	-0.002867	 0.000582
399	 0.037891	-0.010990	 0.010273
400	-0.042835	-0.019505	-0.037125
401	 0.001247	 0.003422	-0.021705
402	 0.007258	-0.010516	-0.017344
403	-0.005507	 0.005808	 0.001409
404	-0.049747	-0.023493	-0.018066
405	-0.002267	-0.024785	-0.004340
406	-0.012232	-0.004774	-0.007343
407	-0.014383	-0.015210	 0.010662
408	-0.041241	-0.018204	-0.001804
409	-0.020850	 0.014427	-0.004072
