    #t	      pc1	      pc2	      pc3
6240.0	 0.026450	 0.008300	 0.010910
6260.0	-0.011830	-0.008740	-0.003350
6280.0	-0.013960	 0.013800	-0.007830
6300.0	-0.007010	 0.022580	 0.037890
6320.0	 0.016740	-0.007500	-0.006290
6340.0	 0.022230	 0.020270	 0.016110
6360.0	-0.014380	-0.004580	-0.014380
6380.0	-0.032960	-0.033580	-0.004790
6400.0	-0.018030	 0.018960	-0.036720
6420.0	-0.010440	-0.005090	-0.010630
6440.0	-0.020950	-0.015520	 0.018710
6460.0	 0.016370	-0.030760	-0.013530
6480.0	 0.025470	-0.016270	 0.009660
6500.0	 0.012790	 0.007400	 0.015980
6520.0	-0.017770	 0.025300	 0.022290
6540.0	-0.014250	-0.005770	-0.002830
6560.0	 0.039140	-0.001060	-0.001810
6580.0	 0.027980	 0.009690	-0.025040
6600.0	-0.060570	-0.009160	-0.025900
6620.0	 0.030910	-0.005130	-0.026560
6640.0	-0.015580	 0.025880	-0.023730
6660.0	 0.021110	 0.018040	 0.009090
6680.0	 0.011600	 0.009040	-0.006630
6700.0	-0.032220	-0.028380	-0.027070
6720.0	 0.003470	 0.010720	 0.019810
6740.0	-0.030680	-0.007470	-0.030820
6760.0	 0.030010	-0.011510	-0.014340
6780.0	-0.006380	-0.009470	-0.003910
6800.0	 0.007000	 0.004130	 0.009520
6820.0	 0.034320	-0.003030	-0.023700
6840.0	-0.009480	-0.013170	 0.003120
6860.0	 0.007750	 0.020810	-0.020300
6880.0	-0.017440	 0.001510	 0.023970
6900.0	 0.026460	-0.008920	 0.004980
6920.0	 0.005660	 0.003470	 0.018890
6940.0	 0.005780	 0.006850	-0.004830
6960.0	-0.019510	 0.005160	-0.030210
6980.0	 0.018570	-0.005590	-0.002310
7000.0	-0.030590	 0.000710	 0.006710
7020.0	 0.031420	 0.007550	-0.009000
7040.0	 0.029140	 0.024830	 0.002150
7060.0	-0.025590	-0.009180	-0.023250
7080.0	-0.007430	-0.013410	-0.009070
7100.0	 0.009700	-0.012220	 0.011800
7120.0	-0.013110	-0.013170	-0.009220
7140.0	-0.022290	 0.025950	 0.008140
7160.0	-0.015440	-0.030160	 0.030490
